,"Fit time, s","Score time, s",R2,Model,MAE
0,137.0789659023285,0.007872819900512695,0.9739165614788686,GradientBoosting,37.20134047730596
1,139.7605276107788,0.014650106430053711,0.9498810732351234,GradientBoosting,39.52215733025258
2,140.21232867240906,0.013147830963134766,0.9426590060958819,GradientBoosting,34.22928929913605
3,140.46148371696472,0.014927387237548828,0.9639967140248445,GradientBoosting,37.025873230836034
4,133.37478852272034,0.013489723205566406,0.7122834452582976,GradientBoosting,38.427156892651
0,8.861173629760742,0.01075291633605957,0.8908013255235268,AdaBoost,127.44573859507294
1,8.828630208969116,0.00829005241394043,0.8906325841129796,AdaBoost,89.99397681988559
2,9.381752252578735,0.005575418472290039,0.890265408558897,AdaBoost,76.83944581171018
3,8.410190105438232,0.0067942142486572266,0.9311811341253529,AdaBoost,81.66153175150835
4,9.13390064239502,0.012189149856567383,0.6286379398054422,AdaBoost,148.21134461853504
0,159.19770789146423,0.07322812080383301,0.9623137558332073,MyAdaBoost,34.45948450946644
1,161.72820949554443,0.07865095138549805,0.910922227217466,MyAdaBoost,39.022848332103926
2,161.06044054031372,0.0719594955444336,0.8954053139378366,MyAdaBoost,37.1346334931563
3,162.68933081626892,0.07459855079650879,0.935146945575478,MyAdaBoost,37.62065581373112
4,157.54227113723755,0.0702524185180664,0.6837135228523152,MyAdaBoost,40.457456724858616
0,110.42548441886902,0.005153656005859375,0.8156240993118451,HistGradientBoosting,39.284504981433855
1,84.88346123695374,0.002897500991821289,0.8651598278067887,HistGradientBoosting,51.848403844182045
2,102.78544807434082,0.0062255859375,0.8291255939680768,HistGradientBoosting,39.52746248449278
3,102.4260561466217,0.011229991912841797,0.7016390749298816,HistGradientBoosting,46.736819446471635
4,59.25884389877319,0.004302978515625,0.8087298814043784,HistGradientBoosting,46.18383310447097
0,6.338151693344116,0.00711512565612793,0.8051027043149152,LGBMRegressor,40.33466100197421
1,6.449434280395508,0.033132076263427734,0.851829125774654,LGBMRegressor,45.24760020909179
2,6.384288311004639,0.009308815002441406,0.8606497030880738,LGBMRegressor,42.7914395210015
3,6.387862920761108,0.021366596221923828,0.7172964741133101,LGBMRegressor,50.84124466569338
4,4.423623085021973,0.008882284164428711,0.773171535392734,LGBMRegressor,45.5044555988904
0,164.21001768112183,0.009556055068969727,0.9789705571783128,XGB,30.82229689970156
1,164.38853979110718,0.013510465621948242,0.9494480099410095,XGB,35.37486663318871
2,157.86385226249695,0.017559051513671875,0.94123462825556,XGB,32.22911609904244
3,157.78240418434143,0.017976760864257812,0.9637784491252717,XGB,31.77925570858715
4,89.3188681602478,0.017260074615478516,0.6931861355141763,XGB,35.72418758482408
0,148.57729649543762,0.4711909294128418,0.9661170906561086,MyBagging,29.127541282808508
1,125.31013631820679,0.05886983871459961,0.9474555967498217,MyBagging,34.06944263014189
2,125.20401191711426,0.05854678153991699,0.9473598311203107,MyBagging,29.29968818071296
3,129.59979343414307,0.125504732131958,0.9433906932354394,MyBagging,33.83227898109511
4,125.07239437103271,0.11414623260498047,0.6923947607676442,MyBagging,35.92536144327968
0,97.32568860054016,0.06380748748779297,0.9540755571425292,Bagging,29.677759808976163
1,106.4781801700592,0.23318266868591309,0.9498670755932725,Bagging,33.601984821525534
2,94.68848609924316,0.03513741493225098,0.9422463671700889,Bagging,29.931677882926024
3,104.66862058639526,0.24813294410705566,0.9485839923167386,Bagging,33.483107446659716
4,97.07850456237793,0.12410855293273926,0.6893357588045014,Bagging,36.284805042932064
0,161.69263577461243,0.06348609924316406,0.9540636200752166,RandomForest,29.534918540705803
1,163.66369485855103,0.06562662124633789,0.9468537106289737,RandomForest,33.94697830747422
2,158.7584583759308,0.03328752517700195,0.9422365735862294,RandomForest,29.905576926691595
3,167.30501198768616,0.09656286239624023,0.9479228235143983,RandomForest,34.77061114835287
4,153.70265674591064,0.013306140899658203,0.6873289245574941,RandomForest,38.213678726708224
