,estimator_name,metric_name,metric_value,fit_predict_time,components_count
0,My KMeans,ari,0.21748427459164066,0.08831229899806203,10
1,My KMeans,ami,0.452029053784869,0.08269561799534131,10
2,My KMeans,fmi,0.314082876414625,0.08525754499714822,10
3,My KMeans,ari,0.21912330723972465,0.12929306200385327,20
4,My KMeans,ami,0.45581426616624454,0.14001420499698725,20
5,My KMeans,fmi,0.31586480263124067,0.13399704299808946,20
6,My KMeans,ari,0.219159328758081,0.34667908400297165,60
7,My KMeans,ami,0.45584761093716136,0.32298788499610964,60
8,My KMeans,fmi,0.31589200782936433,0.3333068930005538,60
0,Sklearn KMeans,ari,0.24246244308816284,0.10551356000360101,10
1,Sklearn KMeans,ami,0.46405182964600866,0.09268208499997854,10
2,Sklearn KMeans,fmi,0.3326692690126576,0.09502452099695802,10
3,Sklearn KMeans,ari,0.24001196748682285,0.11332955300167669,20
4,Sklearn KMeans,ami,0.4567598685566311,0.08380878200114239,20
5,Sklearn KMeans,fmi,0.3290561770820409,0.07641094199789222,20
6,Sklearn KMeans,ari,0.23379133597101312,0.09432096800446743,60
7,Sklearn KMeans,ami,0.46389474642560774,0.09987058399565285,60
8,Sklearn KMeans,fmi,0.3196949118401691,0.08103157699952135,60
0,My KMeans,ari,0.21748427459164066,0.08897018399875378,10
1,My KMeans,ami,0.452029053784869,0.08398744300211547,10
2,My KMeans,fmi,0.314082876414625,0.08601617800013628,10
3,My KMeans,ari,0.21912330723972465,0.16701965300308075,20
4,My KMeans,ami,0.45581426616624454,0.16560077299800469,20
5,My KMeans,fmi,0.31586480263124067,0.16538314399804221,20
6,My KMeans,ari,0.219159328758081,0.37538323100307025,60
7,My KMeans,ami,0.45584761093716136,0.3733281079985318,60
8,My KMeans,fmi,0.31589200782936433,0.38115957799891476,60
0,Sklearn KMeans,ari,0.24246244308816284,0.07881030299904523,10
1,Sklearn KMeans,ami,0.46405182964600866,0.09382419999747071,10
2,Sklearn KMeans,fmi,0.3326692690126576,0.08640379900316475,10
3,Sklearn KMeans,ari,0.24001196748682285,0.09433166400413029,20
4,Sklearn KMeans,ami,0.4567598685566311,0.08881253399886191,20
5,Sklearn KMeans,fmi,0.3290561770820409,0.07657503399968846,20
6,Sklearn KMeans,ari,0.23379133597101312,0.09201054299774114,60
7,Sklearn KMeans,ami,0.46389474642560774,0.08733842199580977,60
8,Sklearn KMeans,fmi,0.3196949118401691,0.09295815999939805,60
0,DBSCAN,ari,0.08392567553025136,0.20239887799834833,10
1,DBSCAN,ami,0.2657596666677455,0.21408043099654606,10
2,DBSCAN,fmi,0.31608541725157124,1.3031521550001344,10
3,DBSCAN,ari,0.10831319017990307,0.6527460529978271,20
4,DBSCAN,ami,0.34831291925461977,0.1270780599952559,20
5,DBSCAN,fmi,0.31608541725157124,1.293340479998733,20
6,DBSCAN,ari,0.10728662198891332,0.12495257199771004,60
7,DBSCAN,ami,0.34830485488360424,0.3757911919965409,60
8,DBSCAN,fmi,0.31608541725157124,1.9671009950034204,60
